primary_ticker,transcript_date,headline,cleaning_warning,raw_word_count,cleaned_word_count,llm_word_count,word_count_drop_pct,likely_reason,notes
ADI,2006-02-09,"Analog Devices Inc., Q1 2006 Earnings Call, Feb-09-2006",llm_text_empty; no_management_speaker_detected; no_qa_section_detected,40,40,0,1.0,extremely short/operator-only or non-substantive call,extremely short/operator-only or non-substantive call
CDNS,2006-02-01,"Cadence Design Systems Inc., Q4 2005 Earnings Call, Feb-01-2006",llm_text_empty; no_management_speaker_detected; no_qa_section_detected,75,75,0,1.0,extremely short/operator-only or non-substantive call,extremely short/operator-only or non-substantive call
GILD,2006-01-30,"Gilead Sciences Inc., Q4 2005 Earnings Call, Jan-30-2006",llm_text_empty; no_management_speaker_detected; no_qa_section_detected,28,28,0,1.0,extremely short/operator-only or non-substantive call,extremely short/operator-only or non-substantive call
GILD,2006-04-18,"Gilead Sciences Inc., Q1 2006 Earnings Call, Apr-18-2006",llm_text_empty; no_management_speaker_detected; no_qa_section_detected,25,25,0,1.0,extremely short/operator-only or non-substantive call,extremely short/operator-only or non-substantive call
MU,2005-12-21,"Micron Technology Inc., Q1 2006 Earnings Call, Dec-21-2005",llm_text_empty; no_management_speaker_detected; no_qa_section_detected,35,35,0,1.0,extremely short/operator-only or non-substantive call,extremely short/operator-only or non-substantive call
ORLY,2010-04-29,"O'Reilly Automotive Inc., Q1 2010 Earnings Call, Apr-29-2010",llm_text_empty; no_management_speaker_detected; no_qa_section_detected,15,15,0,1.0,extremely short/operator-only or non-substantive call,extremely short/operator-only or non-substantive call
PEP,2009-02-13,"Pepsico, Inc., Q4 2008 Earnings Call, Feb 13, 2009",llm_text_empty; no_management_speaker_detected,8821,8821,0,1.0,empty LLM view due to no management text after boilerplate removal,empty LLM view due to no management text after boilerplate removal
ROST,2006-03-15,"Ross Stores Inc., Q4 2006 Earnings Call, Mar 15, 2006",llm_text_empty; no_management_speaker_detected; no_qa_section_detected,71,71,0,1.0,extremely short/operator-only or non-substantive call,extremely short/operator-only or non-substantive call
DXCM,2009-03-05,"DexCom, Inc., Q4 2008 Earnings Call, Mar-05-2009",,6534,6534,807,0.8764921946740128,large operator boilerplate share,large operator boilerplate share
ROST,2008-05-21,"Ross Stores Inc., Q1 2009 Earnings Call, May 21, 2008",,5897,5897,2533,0.5704595557062913,operator/safe-harbor removal or unusual transcript structure,operator/safe-harbor removal or unusual transcript structure
MSFT,2007-10-25,"Microsoft Corporation, Q1 2008 Earnings Call, Oct-25-2007",,8536,8536,5011,0.4129568884723523,operator/safe-harbor removal or unusual transcript structure,operator/safe-harbor removal or unusual transcript structure
AEP,2006-02-01,"American Electric Power Co., Inc., Q4 2005 Earnings Call, Feb-01-2006",no_qa_section_detected,767,767,497,0.3520208604954368,no Q&A section detected,no Q&A section detected
KHC,2015-08-14,"Kraft Foods Group, Inc., The Kraft Heinz Company, Q2 2015 Earnings Call, Aug 14, 2015",no_qa_section_detected,804,804,526,0.345771144278607,no Q&A section detected,no Q&A section detected
