primary_ticker,ciq_company_id,transcript_id,key_devid,transcript_date,headline,cleaning_warning,raw_component_count,raw_word_count,llm_word_count,has_presentation,has_qa,management_speaker_count,analyst_speaker_count,operator_component_count,likely_reason,notes
ADI,251411,3627870,2603956,2006-02-09,"Analog Devices Inc., Q1 2006 Earnings Call, Feb-09-2006",llm_text_empty; no_management_speaker_detected; no_qa_section_detected,1,40,0,True,False,0,0,1,extremely short or operator-only transcript,extremely short or operator-only transcript
AEP,135470,3622668,2540580,2006-02-01,"American Electric Power Co., Inc., Q4 2005 Earnings Call, Feb-01-2006",no_qa_section_detected,3,767,497,True,False,2,0,1,prepared-remarks-only or transcript lacks analyst question components,prepared-remarks-only or transcript lacks analyst question components
ASML,388904,3187507,1886656482,2024-07-17,"ASML Holding N.V., Q2 2024 Pre Recorded Earnings Call, Jul 17, 2024",no_qa_section_detected,1,946,946,True,False,1,0,0,prepared-remarks-only or transcript lacks analyst question components,prepared-remarks-only or transcript lacks analyst question components
ASML,388904,3283865,1900727100,2024-10-15,"ASML Holding N.V., Q3 2024 Pre Recorded Earnings Call, Oct 15, 2024",no_qa_section_detected,1,2395,2395,True,False,1,0,0,prepared-remarks-only or transcript lacks analyst question components,prepared-remarks-only or transcript lacks analyst question components
CDNS,25941,3634454,2562806,2006-02-01,"Cadence Design Systems Inc., Q4 2005 Earnings Call, Feb-01-2006",llm_text_empty; no_management_speaker_detected; no_qa_section_detected,1,75,0,True,False,0,0,1,extremely short or operator-only transcript,extremely short or operator-only transcript
COST,92817,3626700,2455611,2005-12-08,"Costco Wholesale Corporation, Q1 2006 Earnings Call, Dec-08-2005",no_qa_section_detected,2,4883,4801,True,False,1,0,1,prepared-remarks-only or transcript lacks analyst question components,prepared-remarks-only or transcript lacks analyst question components
EA,27963,3632513,1926382,2005-11-01,"Electronic Arts Inc., Q2 2006 Earnings Call, Nov-01-2005",no_qa_section_detected,3,2793,2396,True,False,2,0,1,prepared-remarks-only or transcript lacks analyst question components,prepared-remarks-only or transcript lacks analyst question components
FER,883809,556826,223369590,2012-10-30,"Ferrovial, S.A., Nine Months 2012 Earnings Call, Oct 30, 2012",no_qa_section_detected,1,392,392,True,False,1,0,0,prepared-remarks-only or transcript lacks analyst question components,prepared-remarks-only or transcript lacks analyst question components
GILD,29002,3626860,2537694,2006-01-30,"Gilead Sciences Inc., Q4 2005 Earnings Call, Jan-30-2006",llm_text_empty; no_management_speaker_detected; no_qa_section_detected,1,28,0,True,False,0,0,1,extremely short or operator-only transcript,extremely short or operator-only transcript
GILD,29002,3626856,2716823,2006-04-18,"Gilead Sciences Inc., Q1 2006 Earnings Call, Apr-18-2006",llm_text_empty; no_management_speaker_detected; no_qa_section_detected,1,25,0,True,False,0,0,1,extremely short or operator-only transcript,extremely short or operator-only transcript
GILD,29002,3626791,5100888,2008-01-23,"Gilead Sciences Inc., Q4 2007 Earnings Call, Jan-23-2008",no_qa_section_detected,5,4800,4364,True,False,4,0,1,prepared-remarks-only or transcript lacks analyst question components,prepared-remarks-only or transcript lacks analyst question components
INSM,29978,11179,5700995,2008-08-08,"Insmed Incorporated, Q2 2008 Earnings Call, Aug-08-2008",no_qa_section_detected,5,2465,2240,True,False,3,0,2,prepared-remarks-only or transcript lacks analyst question components,prepared-remarks-only or transcript lacks analyst question components
INSM,29978,36234,61646030,2009-08-13,"Insmed Incorporated, Q2 2009 Earnings Call, Aug-13-2009",no_qa_section_detected,6,2294,2051,True,False,3,0,2,prepared-remarks-only or transcript lacks analyst question components,prepared-remarks-only or transcript lacks analyst question components
INSM,29978,97312,98981052,2010-03-15,"Insmed Incorporated, Q4 2009 Earnings Call, Mar-15-2010",no_qa_section_detected,6,1902,1666,True,False,3,0,2,prepared-remarks-only or transcript lacks analyst question components,prepared-remarks-only or transcript lacks analyst question components
INSM,29978,99907,104821882,2010-05-06,"Insmed Incorporated, Q1 2010 Earnings Call, May-06-2010",no_qa_section_detected,6,1692,1458,True,False,3,0,2,prepared-remarks-only or transcript lacks analyst question components,prepared-remarks-only or transcript lacks analyst question components
INSM,29978,1264663,532442961,2017-08-03,"Insmed Incorporated, Q2 2017 Earnings Call, Aug 03, 2017",no_qa_section_detected,6,2457,2060,True,False,3,0,2,prepared-remarks-only or transcript lacks analyst question components,prepared-remarks-only or transcript lacks analyst question components
KHC,278212,859798,308187905,2015-08-14,"Kraft Foods Group, Inc., The Kraft Heinz Company, Q2 2015 Earnings Call, Aug 14, 2015",no_qa_section_detected,5,804,526,True,False,2,0,2,prepared-remarks-only or transcript lacks analyst question components,prepared-remarks-only or transcript lacks analyst question components
KHC,278212,2265985,713127903,2021-04-29,"The Kraft Heinz Company, Q1 2021 Pre Recorded Earnings Call, Apr 29, 2021",no_qa_section_detected,6,3833,3616,True,False,5,0,0,prepared-remarks-only or transcript lacks analyst question components,prepared-remarks-only or transcript lacks analyst question components
