ticker,company_name,ciq_company_id,ciq_company_name,exchange,sector,industry,match_method,match_confidence,is_primary_share_class,primary_ticker,related_tickers,mapping_status,notes,universe_as_of_date,mapping_verified_at,mapping_source
AAPL,Apple Inc.,24937,Apple Inc.,Nasdaq,Technology,Computer Manufacturing,ticker_exchange_match,0.99,True,AAPL,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=11,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
ABNB,Airbnb,115705393,"Airbnb, Inc.",Nasdaq,Consumer Discretionary,Diversified Commercial Services,ticker_exchange_match,0.99,True,ABNB,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=8,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
ADBE,Adobe Inc.,24321,Adobe Inc.,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,ADBE,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
ADI,Analog Devices,251411,"Analog Devices, Inc.",Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,ADI,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=20,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
ADP,Automatic Data Processing,126269,"Automatic Data Processing, Inc.",Nasdaq,Industrials,Diversified Commercial Services,ticker_exchange_match,0.99,True,ADP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=30,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
ADSK,Autodesk,119902,"Autodesk, Inc.",Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,ADSK,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=3,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
AEP,American Electric Power,135470,"American Electric Power Company, Inc.",Nasdaq,Utilities,Electric Utilities,ticker_exchange_match,0.99,True,AEP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=17,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
ALNY,Alnylam Pharmaceuticals,2796659,"Alnylam Pharmaceuticals, Inc.",Nasdaq,Health Care,Biotechnology,ticker_exchange_match,0.99,True,ALNY,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=2,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
AMAT,Applied Materials,251230,"Applied Materials, Inc.",Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,AMAT,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=12,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
AMD,Advanced Micro Devices,168864,"Advanced Micro Devices, Inc.",Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,AMD,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=27,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
AMGN,Amgen,24816,Amgen Inc.,Nasdaq,Health Care,Biotechnology,ticker_exchange_match,0.99,True,AMGN,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=12,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
AMZN,Amazon,18749,"Amazon.com, Inc.",Nasdaq,Consumer Discretionary,Catalog/Specialty Distribution,ticker_exchange_match,0.99,True,AMZN,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=13,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
APP,AppLovin,231651802,AppLovin Corporation,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,APP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=33,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
ARM,Arm Holdings,667281196,Arm Holdings plc,Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,ARM,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=30,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
ASML,ASML Holding,388904,ASML Holding N.V.,Nasdaq,Technology,Industrial Machinery,ticker_exchange_match,0.99,True,ASML,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=11,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
AVGO,Broadcom,25016048,Broadcom Inc.,Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,AVGO,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=12,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
AXON,Axon Enterprise,885779,"Axon Enterprise, Inc.",Nasdaq,Industrials,Ordnance & Accessories,ticker_exchange_match,0.99,True,AXON,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=16,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
BKNG,Booking Holdings,33254,Booking Holdings Inc.,Nasdaq,Consumer Discretionary,Transportation Services,ticker_exchange_match,0.99,True,BKNG,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=10,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
BKR,Baker Hughes,425005479,Baker Hughes Company,Nasdaq,Energy,Oil Equipment & Services,ticker_exchange_match,0.99,True,BKR,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=18,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
CCEP,Coca-Cola Europacific Partners,109130811,Coca-Cola Europacific Partners PLC,Nasdaq,Consumer Staples,Soft Drinks,ticker_exchange_match,0.99,True,CCEP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=5,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
CDNS,Cadence Design Systems,25941,"Cadence Design Systems, Inc.",Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,CDNS,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=3,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
CEG,Constellation Energy,3136719,Constellation Energy Corporation,Nasdaq,Utilities,Electric Utilities,ticker_exchange_match,0.99,True,CEG,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=22,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
CHTR,Charter Communications,19609,"Charter Communications, Inc.",Nasdaq,Telecommunications,Cable & Other Pay Television Services,ticker_exchange_match,0.99,True,CHTR,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=13,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
CMCSA,Comcast,173341,Comcast Corporation,Nasdaq,Telecommunications,Cable & Other Pay Television Services,ticker_exchange_match,0.99,True,CMCSA,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=5,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
COST,Costco,92817,Costco Wholesale Corporation,Nasdaq,Consumer Discretionary,Department/Specialty Retail Stores,ticker_exchange_match,0.99,True,COST,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=16,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
CPRT,Copart,27023,"Copart, Inc.",Nasdaq,Consumer Discretionary,Retail,ticker_exchange_match,0.99,True,CPRT,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=3,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
CRWD,CrowdStrike,420347413,"CrowdStrike Holdings, Inc.",Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,CRWD,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=6,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
CSCO,Cisco,19691,"Cisco Systems, Inc.",Nasdaq,Telecommunications,Computer Communications Equipment,ticker_exchange_match,0.99,True,CSCO,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=8,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
CSX,CSX Corporation,257948,CSX Corporation,Nasdaq,Industrials,Railroads,ticker_exchange_match,0.99,True,CSX,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=20,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
