ticker,company_name,ciq_company_id,ciq_company_name,exchange,sector,industry,match_method,match_confidence,is_primary_share_class,primary_ticker,related_tickers,mapping_status,notes,universe_as_of_date,mapping_verified_at,mapping_source,first_transcript_date,last_transcript_date,distinct_transcript_years,deduped_call_count,coverage_status,coverage_filter_reason,manual_keep_exception
AAPL,Apple Inc.,24937,Apple Inc.,Nasdaq,Technology,Computer Manufacturing,ticker_exchange_match,0.99,True,AAPL,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=12,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-01-18,2025-10-30,20,80,keep_min10y,distinct_transcript_years_ge_10,False
ADBE,Adobe Inc.,24321,Adobe Inc.,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,ADBE,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=8,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-03-22,2025-12-10,20,80,keep_min10y,distinct_transcript_years_ge_10,False
ADI,Analog Devices,251411,"Analog Devices, Inc.",Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,ADI,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=21,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-02-09,2025-11-25,20,80,keep_min10y,distinct_transcript_years_ge_10,False
ADP,Automatic Data Processing,126269,"Automatic Data Processing, Inc.",Nasdaq,Industrials,Diversified Commercial Services,ticker_exchange_match,0.99,True,ADP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=30,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-01-25,2025-10-29,20,80,keep_min10y,distinct_transcript_years_ge_10,False
ADSK,Autodesk,119902,"Autodesk, Inc.",Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,ADSK,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=3,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2005-11-17,2025-11-25,21,79,keep_min10y,distinct_transcript_years_ge_10,False
AEP,American Electric Power,135470,"American Electric Power Company, Inc.",Nasdaq,Utilities,Electric Utilities,ticker_exchange_match,0.99,True,AEP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=17,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-02-01,2025-10-29,20,75,keep_min10y,distinct_transcript_years_ge_10,False
ALNY,Alnylam Pharmaceuticals,2796659,"Alnylam Pharmaceuticals, Inc.",Nasdaq,Health Care,Biotechnology,ticker_exchange_match,0.99,True,ALNY,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=2,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2008-02-07,2025-10-30,18,72,keep_min10y,distinct_transcript_years_ge_10,False
AMAT,Applied Materials,251230,"Applied Materials, Inc.",Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,AMAT,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=13,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-02-15,2025-11-13,20,80,keep_min10y,distinct_transcript_years_ge_10,False
AMD,Advanced Micro Devices,168864,"Advanced Micro Devices, Inc.",Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,AMD,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=28,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-01-18,2025-11-04,20,80,keep_min10y,distinct_transcript_years_ge_10,False
AMGN,Amgen,24816,Amgen Inc.,Nasdaq,Health Care,Biotechnology,ticker_exchange_match,0.99,True,AMGN,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=12,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-07-20,2025-11-04,20,76,keep_min10y,distinct_transcript_years_ge_10,False
